entry_date,exit_date,held,exit_reason,entry_spy,exit_spy,pnl_pct,policy
2024-01-17,2024-09-05,232,S7_RSI_REVERSE,459.6408386230469,538.2828369140625,73.87272273030977,S7_RSI_REVERSE
2024-01-31,2024-09-05,218,S7_RSI_REVERSE,469.94720458984375,538.2828369140625,62.508132915221516,S7_RSI_REVERSE
2024-02-14,2024-09-05,204,S7_RSI_REVERSE,485.2170104980469,538.2828369140625,43.58689943760922,S7_RSI_REVERSE
2024-02-28,2024-09-05,190,S7_RSI_REVERSE,492.7010192871094,538.2828369140625,39.47291762093712,S7_RSI_REVERSE
2024-03-13,2024-11-27,259,S7_RSI_REVERSE,502.1509704589844,588.2874755859375,65.5941883034324,S7_RSI_REVERSE
2024-03-27,2024-11-27,245,S7_RSI_REVERSE,510.7401123046875,588.2874755859375,58.017449940465916,S7_RSI_REVERSE
2024-04-10,2024-11-27,231,S7_RSI_REVERSE,501.9051208496094,588.2874755859375,62.62322164364458,S7_RSI_REVERSE
2024-05-03,2024-11-27,208,S7_RSI_REVERSE,499.1423950195313,588.2874755859375,77.5696887892666,S7_RSI_REVERSE
2024-05-30,2024-11-27,181,S7_RSI_REVERSE,510.1935119628906,588.2874755859375,63.796674040594226,S7_RSI_REVERSE
2024-06-13,2025-08-01,414,S7_RSI_REVERSE,529.56201171875,616.4907836914062,61.08132399095132,S7_RSI_REVERSE
2024-07-03,2025-08-01,394,S7_RSI_REVERSE,540.0948486328125,616.4907836914062,49.29938914746664,S7_RSI_REVERSE
2024-07-17,2025-08-01,380,S7_RSI_REVERSE,545.4619140625,616.4907836914062,38.013690740237905,S7_RSI_REVERSE
2024-07-31,2025-08-01,366,S7_RSI_REVERSE,539.458251953125,616.4907836914062,43.95815511227764,S7_RSI_REVERSE
2024-08-14,2025-08-01,352,S7_RSI_REVERSE,532.5436401367188,616.4907836914062,48.00025136632178,S7_RSI_REVERSE
2024-09-03,2025-08-01,332,S7_RSI_REVERSE,540.7020263671875,616.4907836914062,28.17799389942485,S7_RSI_REVERSE
2024-09-17,2025-08-01,318,S7_RSI_REVERSE,551.465576171875,616.4907836914062,22.48998435539988,S7_RSI_REVERSE
2024-10-03,2025-08-01,302,S7_RSI_REVERSE,557.8234252929688,616.4907836914062,12.921961942817175,S7_RSI_REVERSE
2024-10-17,2025-08-01,288,S7_RSI_REVERSE,572.0975341796875,616.4907836914062,7.763651790669608,S7_RSI_REVERSE
2024-10-31,2025-08-01,274,S7_RSI_REVERSE,558.6289672851562,616.4907836914062,14.498264803358149,S7_RSI_REVERSE
2024-11-14,2025-08-01,260,S7_RSI_REVERSE,582.9039306640625,616.4907836914062,9.162382552722672,S7_RSI_REVERSE
2024-11-29,2025-08-01,245,S7_RSI_REVERSE,591.94189453125,616.4907836914062,4.717986886959392,S7_RSI_REVERSE
2024-12-13,2025-08-01,231,S7_RSI_REVERSE,593.57275390625,616.4907836914062,0.25881381172485673,S7_RSI_REVERSE
2024-12-27,2025-08-01,217,S7_RSI_REVERSE,586.5021362304688,616.4907836914062,5.195186958488287,S7_RSI_REVERSE
2025-01-17,2025-08-01,196,S7_RSI_REVERSE,589.0353393554688,616.4907836914062,5.480499440032684,S7_RSI_REVERSE
2025-02-03,2025-10-10,249,S7_RSI_REVERSE,589.2225341796875,649.32275390625,28.696573628731198,S7_RSI_REVERSE
2025-02-18,2025-10-10,234,S7_RSI_REVERSE,602.7463989257812,649.32275390625,22.317382845391247,S7_RSI_REVERSE
2025-03-04,2025-10-10,220,S7_RSI_REVERSE,568.6116333007812,649.32275390625,39.42934572036523,S7_RSI_REVERSE
2025-03-24,2025-10-10,200,S7_RSI_REVERSE,567.5736083984375,649.32275390625,56.02085539497045,S7_RSI_REVERSE
2025-05-16,2025-12-17,215,S7_RSI_REVERSE,587.465576171875,667.5986938476562,36.91980716326405,S7_RSI_REVERSE
2025-06-03,2025-12-17,197,S7_RSI_REVERSE,589.3341674804688,667.5986938476562,34.40778370125102,S7_RSI_REVERSE
2025-06-24,2026-01-14,204,S7_RSI_REVERSE,601.676513671875,688.479736328125,40.06025423233937,S7_RSI_REVERSE
2025-07-17,2026-01-14,181,S7_RSI_REVERSE,622.7576293945312,688.479736328125,24.70808050043571,S7_RSI_REVERSE
2017-02-14,2018-02-08,359,S8_DRAWDOWN_10,201.7720642089844,226.7571563720703,73.10139598463314,S8_DRAWDOWN_10
2017-03-07,2018-02-08,338,S8_DRAWDOWN_10,204.62123107910156,226.7571563720703,60.661064425348954,S8_DRAWDOWN_10
2017-03-28,2018-02-08,317,S8_DRAWDOWN_10,204.0545959472656,226.7571563720703,72.77959383415671,S8_DRAWDOWN_10
2017-04-11,2018-02-08,303,S8_DRAWDOWN_10,203.8291778564453,226.7571563720703,71.89273220605303,S8_DRAWDOWN_10
2017-04-25,2018-02-08,289,S8_DRAWDOWN_10,206.85549926757812,226.7571563720703,74.89508375375384,S8_DRAWDOWN_10
2017-05-15,2018-02-08,269,S8_DRAWDOWN_10,208.3729705810547,226.7571563720703,69.43888068021742,S8_DRAWDOWN_10
2017-05-30,2018-02-08,254,S8_DRAWDOWN_10,209.4135284423828,226.7571563720703,68.07293673644077,S8_DRAWDOWN_10
2017-06-15,2018-02-08,238,S8_DRAWDOWN_10,211.38194274902344,226.7571563720703,64.85341930350961,S8_DRAWDOWN_10
2017-06-29,2018-02-08,224,S8_DRAWDOWN_10,210.3040313720703,226.7571563720703,71.85673665816607,S8_DRAWDOWN_10
2017-07-13,2018-02-08,210,S8_DRAWDOWN_10,212.97911071777344,226.7571563720703,70.54151843560122,S8_DRAWDOWN_10
2017-08-07,2018-02-08,185,S8_DRAWDOWN_10,215.9853515625,226.7571563720703,67.13688959740793,S8_DRAWDOWN_10
2017-08-22,2018-12-14,479,S8_DRAWDOWN_10,213.867919921875,232.25521850585935,12.96887164517323,S8_DRAWDOWN_10
2017-09-05,2018-12-14,465,S8_DRAWDOWN_10,214.40814208984375,232.25521850585935,8.247456416243496,S8_DRAWDOWN_10
2017-10-25,2018-12-14,415,S8_DRAWDOWN_10,223.55484008789065,232.25521850585935,-4.274625826169974,S8_DRAWDOWN_10
2017-11-08,2018-12-14,401,S8_DRAWDOWN_10,226.8999786376953,232.25521850585935,-11.64769535467039,S8_DRAWDOWN_10
2017-11-22,2018-12-14,387,S8_DRAWDOWN_10,227.46920776367188,232.25521850585935,-9.425923086127305,S8_DRAWDOWN_10
2017-12-20,2018-12-14,359,S8_DRAWDOWN_10,235.0306396484375,232.25521850585935,-20.25080288883058,S8_DRAWDOWN_10
2018-01-03,2018-12-14,345,S8_DRAWDOWN_10,238.0585021972656,232.25521850585935,-24.36447210538363,S8_DRAWDOWN_10
2018-02-01,2018-12-14,316,S8_DRAWDOWN_10,247.83709716796875,232.25521850585935,-40.9698777284176,S8_DRAWDOWN_10
2018-02-15,2018-12-14,302,S8_DRAWDOWN_10,240.31166076660156,232.25521850585935,-36.52212595882013,S8_DRAWDOWN_10
2018-03-09,2018-12-14,280,S8_DRAWDOWN_10,245.45179748535156,232.25521850585935,-39.09952983895836,S8_DRAWDOWN_10
2018-03-23,2018-12-14,266,S8_DRAWDOWN_10,228.03643798828125,232.25521850585935,-21.612328443129286,S8_DRAWDOWN_10
2018-04-06,2018-12-14,252,S8_DRAWDOWN_10,229.51222229003903,232.25521850585935,-19.726009575808376,S8_DRAWDOWN_10
2018-05-09,2018-12-14,219,S8_DRAWDOWN_10,238.15467834472656,232.25521850585935,-19.943508118775057,S8_DRAWDOWN_10
