entry_date,exit_date,entry_spy,exit_spy,strike,contracts,cost,exit_value,pnl,pct,held_days,exit_reason,n_strategies,fired
2024-03-19,2024-12-18,503.4573669433594,575.9583740234375,580,2,7246.663183025597,14144.42362679136,6897.760443765763,0.9518533247030032,274,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2024-05-03,2024-12-18,499.1423950195313,575.9583740234375,575,2,6882.55453185459,15389.0990512979,8506.54451944331,1.2359574457525027,229,VIX +6/5d,3,"A_CHEAP_IV, E_A_OR_SQUEEZE, H_CURRENT"
2024-06-05,2024-12-18,521.9669189453125,575.9583740234375,600,2,6979.530465175274,13751.07549845287,6771.545033277596,0.9702006556264162,196,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2024-08-19,2025-03-04,548.0767822265625,568.6116333007812,630,1,4315.056311524624,4807.564599158549,492.50828763392474,0.1141371634753727,197,SPY broke 50DMA,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2024-11-07,2025-10-16,585.1242065429688,656.8995971679688,675,1,4500.364753829145,6805.990026409885,2305.62527258074,0.5123196448952262,343,VIX +6/5d,5,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, F_VIX_CRUSH"
2024-11-26,2025-10-16,590.075439453125,656.8995971679688,680,1,4431.488161301976,6799.837037183064,2368.348875881088,0.5344364668651771,324,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2024-12-24,2025-10-16,592.7020263671875,656.8995971679688,680,1,4956.418622770241,7095.610314800009,2139.191692029768,0.43160028537584083,296,VIX +6/5d,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2025-01-17,2025-10-16,589.0353393554688,656.8995971679688,675,1,5099.9371030902075,7554.971408746442,2455.034305656234,0.4813852124114735,272,VIX +6/5d,3,"A_CHEAP_IV, E_A_OR_SQUEEZE, H_CURRENT"
2025-02-13,2025-10-16,601.0115356445312,656.8995971679688,690,1,4929.400638097082,7204.955014765726,2275.554376668644,0.46162901815728374,245,VIX +6/5d,5,"A_CHEAP_IV, B_TREND_FOLLOW, E_A_OR_SQUEEZE, H_CURRENT, I_FILTER_CURR"
2025-08-08,2026-03-06,631.82080078125,670.5487060546875,725,1,5737.146584976986,7772.472205976796,2035.3256209998108,0.35476270143234895,210,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2025-09-04,2026-03-06,643.6603393554688,670.5487060546875,740,1,5920.072310819059,7521.1078172605,1601.0355064414416,0.27044188354177956,183,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2025-10-27,2026-05-13,681.3603515625,742.3099975585938,785,1,6455.38838944895,8151.530405390991,1696.1420159420413,0.26274825209809394,198,still open,5,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, F_VIX_CRUSH"
2025-12-04,2026-05-13,680.51513671875,742.3099975585938,785,1,6640.5709777041375,8550.764337025328,1910.1933593211907,0.2876549871591926,160,still open,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2025-12-23,2026-05-13,686.0863037109375,742.3099975585938,790,1,6208.922058418354,8543.777076297722,2334.8550178793676,0.37604836973491385,141,still open,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2026-01-06,2026-05-13,689.92578125,742.3099975585938,795,1,6288.88982403235,8487.13595870911,2198.2461346767604,0.3495443863997088,127,still open,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
